,encrypted_user_id,title,date,location,department,amount,description
2831,0,Paid 400 for stopping vehicle on ORR,2016-06-05 22:05:00+03:00,"Hyderabad,Telangana",Traffic Violations,400,-
2832,0,Canara Bank (Vadapalani) Branch Manager (Mr. Dandapani) demanded 60000 to process educational loan,2016-05-05 10:54:00+03:00,"Chennai,TamilNadu",,60000,-
2833,0,Give amount for repairing electric meter,2016-05-05 08:57:00+03:00,"Proddatur,AndhraPradesh",Additional power for High Tension installations,500,-
2834,0,Paid a bride of 750 for getting signatures even after clearing test,2016-04-05 11:16:00+03:00,"Pune,Maharashtra",Smartcard License,750,-
2835,0,Bsnl corruption,2016-04-05 06:12:00+03:00,"Nanded,Maharashtra",Repair of Telephone or Internet Connection,200,-
2836,0,Paid bribe to police for red light jumping,2016-03-05 09:22:00+03:00,"Noida,UttarPradesh",Traffic Violations,500,-
2837,0,Bribe in form of 'forced donation',2016-03-05 06:46:00+03:00,"Thane,Maharashtra",Registration of Vehicle,200,-
2838,0,Traffic Violations,2016-02-05 18:15:00+03:00,"Pune,Maharashtra",Traffic Violations,100,-
2839,0,"Pune Traffic Police â Bribe, harassment",2016-02-05 18:57:00+03:00,"Pune,Maharashtra",Traffic Violations,1000,-
2840,0,Paid 100 rupees for  getting clearance from police for getting duplicate BSNL sim,2016-02-05 16:17:00+03:00,"Bangalore,Karnataka",Police Clearance Certificate,100,-
2841,0,I paid a bribe,2016-04-30 17:59:00+03:00,"Calicut,Kerala",Transformer Maintenance,5000,-
2842,0,Hapta vasuli police,2016-04-30 15:00:00+03:00,"Nanded,Maharashtra",Others,2000,-
2843,0,A banking officials wanted to take a bribe,2016-04-30 15:48:00+03:00,"Abhayapuri,Assam",Loan Sanctioning,50000,-
2844,0,Lost DL bribe,2016-04-29 04:30:00+03:00,"Bangalore,Karnataka",Retrieval of lost items,100,-
2845,0,Bribe for change in address in License,2016-04-29 08:27:00+03:00,"Bangalore,Karnataka",Vehicle Registration Extract,2500,-
